variante,radius,zielrichtung,wiederholung,maze_seed,run_seed,wanddichte,kuerzester_weg,geloest,ziel_generation,schwelle_generation,generationen,beste_fitness,schritte_bester,netz_knoten,netz_verbindungen,pop_size,compatibility_threshold,conn_add_prob,node_add_prob,laufzeit_s,dichte,sackgassen
V0,1,0,0,0,0,0.2928,56,0,,,100,-8.78422,,10,15,1000,2.8,0.5,0.3,96.6,0.3,39
V1,1,1,0,0,0,0.2928,56,0,,,100,-6.27856,,11,18,1000,2.8,0.5,0.3,103.7,0.3,39
V0,1,0,1,1,1,0.2784,48,0,,,100,9.99953,,6,11,1000,2.8,0.5,0.3,101.2,0.3,42
V1,1,1,1,1,1,0.2784,48,0,,,100,21.14113,,10,12,1000,2.8,0.5,0.3,101.9,0.3,42
V0,1,0,2,2,2,0.3072,50,0,,,100,17.11017,,8,30,1000,2.8,0.5,0.3,99.6,0.3,43
V1,1,1,2,2,2,0.3072,50,0,,,100,16.91017,,8,12,1000,2.8,0.5,0.3,112.2,0.3,43
V0,1,0,3,3,3,0.296,48,1,4,4,5,43.94113,48,7,26,1000,2.8,0.5,0.3,4.6,0.3,43
V1,1,1,3,3,3,0.296,48,1,6,6,7,43.94113,48,7,33,1000,2.8,0.5,0.3,7.2,0.3,43
V0,1,0,4,4,4,0.288,48,1,43,43,44,43.94113,56,4,9,1000,2.8,0.5,0.3,37.9,0.3,45
V1,1,1,4,4,4,0.288,48,1,8,8,9,43.94113,48,6,20,1000,2.8,0.5,0.3,9.3,0.3,45
V0,1,0,5,5,5,0.3168,48,0,,,100,15.44113,,8,29,1000,2.8,0.5,0.3,99.3,0.3,51
V1,1,1,5,5,5,0.3168,48,0,,,100,15.44113,,7,19,1000,2.8,0.5,0.3,96.9,0.3,51
V0,1,0,6,6,6,0.3216,52,0,,,100,12.45429,,9,12,1000,2.8,0.5,0.3,99.0,0.3,57
V1,1,1,6,6,6,0.3216,52,0,,,100,15.27006,,9,19,1000,2.8,0.5,0.3,113.5,0.3,57
V0,1,0,7,7,7,0.3072,48,0,,,100,14.17887,,8,24,1000,2.8,0.5,0.3,92.4,0.3,52
V1,1,1,7,7,7,0.3072,48,1,6,6,7,43.94113,48,4,21,1000,2.8,0.5,0.3,7.2,0.3,52
V0,1,0,0,0,0,0.3248,48,0,,,100,19.44113,,12,16,1000,2.8,0.5,0.3,107.7,0.35,49
V1,1,1,0,0,0,0.3248,48,0,,,100,20.94113,,12,24,1000,2.8,0.5,0.3,109.4,0.35,49
V0,1,0,1,1,1,0.3264,50,0,,,100,-1.06238,,11,17,1000,2.8,0.5,0.3,101.4,0.35,48
V1,1,1,1,1,1,0.3264,50,0,,,100,14.43088,,18,20,1000,2.8,0.5,0.3,106.2,0.35,48
V0,1,0,2,2,2,0.3584,50,0,,,100,16.71017,,9,24,1000,2.8,0.5,0.3,99.4,0.35,59
V1,1,1,2,2,2,0.3584,50,0,,,100,19.77885,,5,13,1000,2.8,0.5,0.3,96.0,0.35,59
V0,1,0,3,3,3,0.3328,48,0,,,100,5.28563,,5,12,1000,2.8,0.5,0.3,104.1,0.35,51
V1,1,1,3,3,3,0.3328,48,1,23,23,24,43.94113,48,5,16,1000,2.8,0.5,0.3,24.5,0.35,51
V0,1,0,4,4,4,0.3392,48,0,,,100,2.20204,,11,19,1000,2.8,0.5,0.3,95.4,0.35,55
V1,1,1,4,4,4,0.3392,48,0,,,100,8.44113,,5,16,1000,2.8,0.5,0.3,98.6,0.35,55
V0,1,0,5,5,5,0.3648,52,0,,,100,16.24113,,7,9,1000,2.8,0.5,0.3,90.7,0.35,59
V1,1,1,5,5,5,0.3648,52,0,,,100,16.24113,,16,19,1000,2.8,0.5,0.3,106.2,0.35,59
V0,1,0,6,6,6,0.3024,56,0,,,100,-9.08422,,6,23,1000,2.8,0.5,0.3,112.0,0.35,43
V1,1,1,6,6,6,0.3024,56,0,,,100,-2.5843,,7,34,1000,2.8,0.5,0.3,114.5,0.35,43
V0,1,0,7,7,7,0.3648,52,0,,,100,8.79946,,15,15,1000,2.8,0.5,0.3,104.5,0.35,65
V1,1,1,7,7,7,0.3648,52,0,,,100,9.49201,,7,13,1000,2.8,0.5,0.3,112.5,0.35,65
