variante,radius,zielrichtung,wiederholung,maze_seed,run_seed,wanddichte,kuerzester_weg,geloest,ziel_generation,schwelle_generation,generationen,beste_fitness,schritte_bester,netz_knoten,netz_verbindungen,pop_size,compatibility_threshold,conn_add_prob,node_add_prob,laufzeit_s
V0,1,0,10,10,10,0.248,48,1,6,6,7,43.94113,56,6,24,1000,2.8,0.5,0.3,6.5
V1,1,1,10,10,10,0.248,48,1,4,4,5,43.94113,48,7,35,1000,2.8,0.5,0.3,5.1
V0,1,0,11,11,11,0.2528,48,1,38,38,39,43.94113,50,6,8,1000,2.8,0.5,0.3,36.3
V1,1,1,11,11,11,0.2528,48,0,,,100,15.54113,,12,17,1000,2.8,0.5,0.3,112.3
V0,1,0,12,12,12,0.2512,48,1,4,4,5,43.94113,48,5,18,1000,2.8,0.5,0.3,4.6
V1,1,1,12,12,12,0.2512,48,1,7,7,8,43.94113,48,7,28,1000,2.8,0.5,0.3,8.0
V0,1,0,13,13,13,0.2544,48,1,9,9,10,43.94113,48,7,19,1000,2.8,0.5,0.3,9.2
V1,1,1,13,13,13,0.2544,48,1,10,10,11,43.94113,48,4,16,1000,2.8,0.5,0.3,11.8
V0,1,0,14,14,14,0.2704,50,0,,,100,-7.9451,,6,24,1000,2.8,0.5,0.3,102.8
V1,1,1,14,14,14,0.2704,50,0,,,100,-2.50411,,9,37,1000,2.8,0.5,0.3,113.4
V0,1,0,15,15,15,0.2368,50,1,25,25,26,43.94113,58,7,8,1000,2.8,0.5,0.3,24.2
V1,1,1,15,15,15,0.2368,50,0,,,100,1.61627,,13,25,1000,2.8,0.5,0.3,109.4
V0,1,0,16,16,16,0.248,50,0,,,100,21.00506,,8,17,1000,2.8,0.5,0.3,105.3
V1,1,1,16,16,16,0.248,50,0,,,100,20.80506,,6,12,1000,2.8,0.5,0.3,111.5
V0,1,0,17,17,17,0.2384,48,1,7,7,8,43.94113,52,8,27,1000,2.8,0.5,0.3,7.4
V1,1,1,17,17,17,0.2384,48,1,5,5,6,43.94113,48,8,35,1000,2.8,0.5,0.3,6.2
V0,1,0,18,18,18,0.224,48,1,10,10,11,43.94113,50,6,25,1000,2.8,0.5,0.3,10.2
V1,1,1,18,18,18,0.224,48,1,3,3,4,43.94113,50,6,34,1000,2.8,0.5,0.3,4.0
V0,1,0,19,19,19,0.2352,48,1,24,24,25,43.94113,48,11,22,1000,2.8,0.5,0.3,22.8
V1,1,1,19,19,19,0.2352,48,1,18,18,19,43.94113,48,7,17,1000,2.8,0.5,0.3,20.2
