variante,radius,zielrichtung,wiederholung,maze_seed,run_seed,wanddichte,kuerzester_weg,geloest,ziel_generation,schwelle_generation,generationen,beste_fitness,schritte_bester,netz_knoten,netz_verbindungen,pop_size,compatibility_threshold,conn_add_prob,node_add_prob,laufzeit_s
V0,1,0,0,0,0,0.2432,50,0,,,100,14.24113,,7,13,1000,2.8,0.5,0.3,101.8
V0,1,0,1,1,1,0.2656,48,1,11,11,12,43.94113,48,6,18,1000,2.8,0.5,0.3,11.5
V0,1,0,2,2,2,0.2528,48,1,8,8,9,43.94113,48,8,28,1000,2.8,0.5,0.3,8.3
V0,1,0,3,3,3,0.2336,48,1,11,11,12,43.94113,48,8,20,1000,2.8,0.5,0.3,11.2
V0,1,0,4,4,4,0.2256,48,0,,,100,20.94113,,7,15,1000,2.8,0.5,0.3,95.2
V0,1,0,5,5,5,0.2624,48,1,11,11,12,43.94113,48,12,24,1000,2.8,0.5,0.3,11.2
V0,1,0,6,6,6,0.2464,48,1,70,70,71,43.94113,54,8,9,1000,2.8,0.5,0.3,67.2
V0,1,0,7,7,7,0.2896,50,0,,,100,20.04113,,8,10,1000,2.8,0.5,0.3,107.4
V0,1,0,8,8,8,0.24,48,0,,,100,10.22742,,10,11,1000,2.8,0.5,0.3,103.4
V0,1,0,9,9,9,0.2272,48,1,4,4,5,43.94113,48,6,26,1000,2.8,0.5,0.3,4.6
V1,1,1,0,0,0,0.2432,50,1,51,51,52,43.94113,60,8,12,1000,2.8,0.5,0.3,53.3
V1,1,1,1,1,1,0.2656,48,1,16,16,17,43.94113,48,4,11,1000,2.8,0.5,0.3,17.6
V1,1,1,2,2,2,0.2528,48,1,67,67,68,43.94113,48,11,16,1000,2.8,0.5,0.3,67.8
V1,1,1,3,3,3,0.2336,48,1,13,13,14,43.94113,48,10,21,1000,2.8,0.5,0.3,14.2
V1,1,1,4,4,4,0.2256,48,0,,,100,17.64113,,5,10,1000,2.8,0.5,0.3,99.0
V1,1,1,5,5,5,0.2624,48,1,11,11,12,43.94113,48,11,33,1000,2.8,0.5,0.3,12.4
V1,1,1,6,6,6,0.2464,48,1,30,30,31,43.94113,48,14,28,1000,2.8,0.5,0.3,34.7
V1,1,1,7,7,7,0.2896,50,0,,,100,19.84113,,4,9,1000,2.8,0.5,0.3,100.0
V1,1,1,8,8,8,0.24,48,1,71,71,72,43.94113,56,9,11,1000,2.8,0.5,0.3,70.1
V1,1,1,9,9,9,0.2272,48,1,9,9,10,43.94113,48,7,24,1000,2.8,0.5,0.3,10.4
V2,2,0,0,0,0,0.2432,50,0,,,100,-2.30619,,13,38,1000,2.8,0.5,0.3,166.7
V2,2,0,1,1,1,0.2656,48,1,34,34,35,43.94113,48,7,15,1000,2.8,0.5,0.3,55.8
V2,2,0,2,2,2,0.2528,48,1,22,22,23,43.94113,48,13,38,1000,2.8,0.5,0.3,39.8
V2,2,0,3,3,3,0.2336,48,1,16,16,17,43.94113,48,10,48,1000,2.8,0.5,0.3,29.2
V2,2,0,4,4,4,0.2256,48,0,,,100,17.64211,,12,14,1000,2.8,0.5,0.3,150.5
V2,2,0,5,5,5,0.2624,48,1,12,12,13,43.94113,48,8,56,1000,2.8,0.5,0.3,22.9
V2,2,0,6,6,6,0.2464,48,1,34,34,35,43.94113,48,9,26,1000,2.8,0.5,0.3,59.3
V2,2,0,7,7,7,0.2896,50,0,,,100,20.24113,,11,14,1000,2.8,0.5,0.3,151.2
V2,2,0,8,8,8,0.24,48,0,,,100,14.34113,,11,24,1000,2.8,0.5,0.3,163.4
V2,2,0,9,9,9,0.2272,48,1,14,14,15,43.94113,48,8,52,1000,2.8,0.5,0.3,25.6
V3,2,1,0,0,0,0.2432,50,1,38,38,39,43.94113,54,15,48,1000,2.8,0.5,0.3,70.1
V3,2,1,1,1,1,0.2656,48,1,38,38,39,43.94113,48,9,28,1000,2.8,0.5,0.3,70.3
V3,2,1,2,2,2,0.2528,48,1,19,19,20,43.94113,48,11,53,1000,2.8,0.5,0.3,38.1
V3,2,1,3,3,3,0.2336,48,1,14,14,15,43.94113,48,6,53,1000,2.8,0.5,0.3,27.6
V3,2,1,4,4,4,0.2256,48,0,,,100,10.54113,,15,23,1000,2.8,0.5,0.3,168.5
V3,2,1,5,5,5,0.2624,48,1,13,13,14,43.94113,48,6,30,1000,2.8,0.5,0.3,26.0
V3,2,1,6,6,6,0.2464,48,1,34,34,35,43.94113,48,6,16,1000,2.8,0.5,0.3,62.1
V3,2,1,7,7,7,0.2896,50,0,,,100,19.84113,,14,18,1000,2.8,0.5,0.3,177.6
V3,2,1,8,8,8,0.24,48,1,57,57,58,43.94113,56,14,23,1000,2.8,0.5,0.3,94.1
V3,2,1,9,9,9,0.2272,48,1,27,27,28,43.94113,48,11,30,1000,2.8,0.5,0.3,52.9
V4,3,1,0,0,0,0.2432,50,1,54,54,55,43.94113,56,10,17,1000,2.8,0.5,0.3,151.3
V4,3,1,1,1,1,0.2656,48,0,,,100,11.74309,,7,86,1000,2.8,0.5,0.3,265.9
V4,3,1,2,2,2,0.2528,48,1,32,32,33,43.94113,48,7,41,1000,2.8,0.5,0.3,96.0
V4,3,1,3,3,3,0.2336,48,1,27,27,28,43.94113,48,11,70,1000,2.8,0.5,0.3,82.8
V4,3,1,4,4,4,0.2256,48,0,,,100,20.60506,,4,37,1000,2.8,0.5,0.3,259.2
V4,3,1,5,5,5,0.2624,48,1,97,97,98,43.94113,48,9,11,1000,2.8,0.5,0.3,248.7
V4,3,1,6,6,6,0.2464,48,1,52,52,53,43.94113,48,10,33,1000,2.8,0.5,0.3,152.3
