sweep_parameter,sweep_wert,variante,wiederholung,generation,beste_fitness,mittlere_fitness,stdabw_fitness,anzahl_spezies,ziel_erreicht
pop_size,250,V1,0,0,-10.79101,-14.47703,1.4853,8,0
pop_size,250,V1,0,1,-10.79101,-13.3134,1.67099,8,0
pop_size,250,V1,0,2,-10.79101,-12.97168,1.69054,8,0
pop_size,250,V1,0,3,-10.79101,-12.54508,1.44847,8,0
pop_size,250,V1,0,4,-10.59101,-12.79092,1.57728,9,0
pop_size,250,V1,0,5,-7.86182,-12.54964,1.54578,9,0
pop_size,250,V1,0,6,-5.59773,-12.65014,1.76425,9,0
pop_size,250,V1,0,7,-5.59773,-12.6437,2.02899,9,0
pop_size,250,V1,0,8,-5.59773,-12.14845,2.0484,9,0
pop_size,250,V1,0,9,-5.59773,-12.20023,2.07503,9,0
pop_size,250,V1,0,10,-5.59773,-12.13068,2.17755,9,0
pop_size,250,V1,0,11,-5.59773,-11.87315,2.13387,9,0
pop_size,250,V1,0,12,-5.59773,-11.8362,2.2592,9,0
pop_size,250,V1,0,13,-5.59773,-11.44824,2.57318,9,0
pop_size,250,V1,0,14,-5.59773,-11.83954,2.39097,9,0
pop_size,250,V1,0,15,-5.59773,-11.46114,2.48854,9,0
pop_size,250,V1,0,16,-5.59773,-11.73126,2.71395,9,0
pop_size,250,V1,0,17,-5.59773,-11.55849,2.6256,9,0
pop_size,250,V1,0,18,-5.59773,-11.56722,2.52665,9,0
pop_size,250,V1,0,19,-5.59773,-11.76469,2.41487,9,0
pop_size,250,V1,0,20,-5.59773,-11.55411,2.58403,9,0
pop_size,250,V1,0,21,-5.59773,-11.63004,2.77851,8,0
pop_size,250,V1,0,22,-5.59773,-11.47576,2.85016,7,0
pop_size,250,V1,0,23,-5.59773,-12.10195,2.30435,6,0
pop_size,250,V1,0,24,-5.59773,-12.23519,2.20115,5,0
pop_size,250,V1,0,25,-5.59773,-11.73381,2.18209,5,0
pop_size,250,V1,0,26,-4.9571,-12.03986,2.10967,4,0
pop_size,250,V1,0,27,-4.9571,-12.01111,1.98153,4,0
pop_size,250,V1,0,28,-4.9571,-12.02979,1.8353,4,0
pop_size,250,V1,0,29,-4.9571,-12.21188,1.92648,4,0
pop_size,250,V1,0,30,-4.9571,-12.20628,2.01995,4,0
pop_size,250,V1,0,31,-4.89773,-11.90632,2.16332,4,0
pop_size,250,V1,0,32,-2.86827,-12.0936,2.17869,4,0
pop_size,250,V1,0,33,-2.86827,-11.97032,2.26567,4,0
pop_size,250,V1,0,34,-2.86827,-11.63347,2.41453,4,0
pop_size,250,V1,0,35,-2.86827,-11.90937,2.2621,4,0
pop_size,250,V1,0,36,-2.86827,-11.87333,2.38539,4,0
pop_size,250,V1,0,37,-2.86827,-11.81149,2.28987,4,0
pop_size,250,V1,0,38,-2.86827,-11.80943,2.28445,4,0
pop_size,250,V1,0,39,-2.86827,-11.98491,2.38537,5,0
pop_size,250,V1,0,40,-2.86827,-11.32404,2.54433,5,0
pop_size,250,V1,0,41,-2.86827,-11.73683,2.62001,5,0
pop_size,250,V1,0,42,-2.86827,-11.79792,2.46711,5,0
pop_size,250,V1,0,43,-2.86827,-11.43872,2.64816,5,0
pop_size,250,V1,0,44,-2.86827,-11.51224,2.81892,5,0
pop_size,250,V1,0,45,-2.66827,-11.80776,2.64582,5,0
pop_size,250,V1,0,46,-2.66827,-11.47279,2.80017,5,0
pop_size,250,V1,0,47,-2.66827,-11.5558,2.66114,6,0
pop_size,250,V1,0,48,-2.66827,-11.87434,2.45002,5,0
pop_size,250,V1,0,49,-2.66827,-11.63205,2.53085,5,0
pop_size,250,V1,0,50,-2.66827,-11.82768,2.51286,5,0
pop_size,250,V1,0,51,-2.66827,-11.65454,2.4568,5,0
pop_size,250,V1,0,52,17.14113,-11.35838,3.15567,5,0
pop_size,250,V1,0,53,17.14113,-11.57761,3.09218,5,0
pop_size,250,V1,0,54,17.14113,-11.85557,3.08172,6,0
pop_size,250,V1,0,55,17.14113,-11.62151,3.36242,6,0
pop_size,250,V1,0,56,17.14113,-11.33164,3.17735,7,0
pop_size,250,V1,0,57,17.14113,-10.98184,3.30058,7,0
pop_size,250,V1,0,58,17.14113,-11.32491,3.29448,7,0
pop_size,250,V1,0,59,17.14113,-11.51677,3.65738,7,0
pop_size,250,V1,0,60,17.14113,-11.64384,3.57079,7,0
pop_size,250,V1,0,61,17.14113,-11.00916,4.24374,7,0
pop_size,250,V1,0,62,17.14113,-11.1524,3.90887,7,0
pop_size,250,V1,0,63,17.14113,-11.05452,3.82038,5,0
pop_size,250,V1,0,64,17.14113,-11.02499,3.95065,5,0
pop_size,250,V1,0,65,17.14113,-11.12479,3.89019,5,0
pop_size,250,V1,0,66,17.14113,-10.99722,3.86923,5,0
pop_size,250,V1,0,67,17.14113,-10.89553,3.86252,6,0
pop_size,250,V1,0,68,-2.46827,-11.53306,2.54514,5,0
pop_size,250,V1,0,69,-2.46827,-11.47948,2.71053,5,0
pop_size,250,V1,0,70,-2.46827,-11.41755,2.82989,5,0
pop_size,250,V1,0,71,-2.46827,-11.0363,2.99909,5,0
pop_size,250,V1,0,72,-2.46827,-11.60499,2.68369,6,0
pop_size,250,V1,0,73,-2.46827,-11.05099,2.88096,6,0
pop_size,250,V1,0,74,-2.46827,-10.92615,3.10976,6,0
pop_size,250,V1,0,75,-2.46827,-10.849,3.06137,5,0
pop_size,250,V1,0,76,-5.35887,-10.41939,3.25105,4,0
pop_size,250,V1,0,77,-5.35887,-10.3934,3.27804,4,0
pop_size,250,V1,0,78,-5.35887,-10.62687,3.32721,4,0
pop_size,250,V1,0,79,-5.35887,-10.43784,3.29101,5,0
pop_size,250,V1,0,80,-5.35887,-10.26216,3.41721,7,0
pop_size,250,V1,0,81,-5.35887,-10.5884,3.28822,7,0
pop_size,250,V1,0,82,-5.35887,-10.30242,3.4252,7,0
pop_size,250,V1,0,83,-5.35887,-10.15125,3.30984,7,0
pop_size,250,V1,0,84,-5.35887,-10.3129,3.55515,6,0
pop_size,250,V1,0,85,-5.35887,-10.03551,3.62345,6,0
pop_size,250,V1,0,86,-5.35887,-10.07953,3.5057,6,0
pop_size,250,V1,0,87,-5.35887,-10.56004,3.49086,7,0
pop_size,250,V1,0,88,-5.59773,-10.34295,3.37318,4,0
pop_size,250,V1,0,89,-5.59773,-10.28991,3.30442,4,0
pop_size,250,V1,0,90,-5.59773,-10.64424,3.21635,4,0
pop_size,250,V1,0,91,-5.59773,-10.76467,3.22421,4,0
pop_size,250,V1,0,92,-5.59773,-9.93391,3.29273,4,0
pop_size,250,V1,0,93,-5.35887,-10.30622,3.41679,4,0
pop_size,250,V1,0,94,-5.35887,-10.33832,3.50795,4,0
pop_size,250,V1,0,95,-5.35887,-10.38866,3.43694,5,0
pop_size,250,V1,0,96,-5.35887,-10.08066,3.46137,4,0
pop_size,250,V1,0,97,-5.35887,-10.09044,3.38119,4,0
pop_size,250,V1,0,98,-5.35887,-9.84314,3.49749,4,0
pop_size,250,V1,0,99,-5.35887,-10.28961,3.34683,6,0
pop_size,250,V1,1,0,-11.57269,-14.73153,1.14599,8,0
pop_size,250,V1,1,1,-9.95887,-13.70529,1.27097,8,0
pop_size,250,V1,1,2,-6.73138,-13.39044,1.38451,8,0
pop_size,250,V1,1,3,-6.73138,-13.2299,1.56693,9,0
pop_size,250,V1,1,4,-2.50411,-12.95791,1.95683,9,0
pop_size,250,V1,1,5,-2.50411,-12.69179,2.26941,9,0
pop_size,250,V1,1,6,-2.50411,-12.27837,2.83115,9,0
pop_size,250,V1,1,7,-2.50411,-12.09733,3.20952,9,0
pop_size,250,V1,1,8,5.21661,-11.6598,3.73498,9,0
pop_size,250,V1,1,9,7.60546,-11.16892,4.56976,9,0
pop_size,250,V1,1,10,7.60546,-10.8497,4.60416,10,0
pop_size,250,V1,1,11,7.60546,-11.17481,4.83343,10,0
pop_size,250,V1,1,12,7.60546,-11.04683,4.6595,10,0
pop_size,250,V1,1,13,7.60546,-10.74282,4.83051,10,0
pop_size,250,V1,1,14,7.60546,-10.39638,5.41496,10,0
pop_size,250,V1,1,15,7.60546,-9.89644,5.84262,10,0
pop_size,250,V1,1,16,7.60546,-9.5623,5.70295,10,0
pop_size,250,V1,1,17,7.60546,-9.54895,5.6217,10,0
pop_size,250,V1,1,18,7.60546,-8.8769,6.26206,10,0
pop_size,250,V1,1,19,7.60546,-8.65236,6.38134,9,0
pop_size,250,V1,1,20,7.60546,-8.97634,6.37495,9,0
pop_size,250,V1,1,21,11.74309,-8.51489,6.56984,9,0
pop_size,250,V1,1,22,11.74309,-8.40168,6.77618,9,0
pop_size,250,V1,1,23,20.94113,-8.02304,6.75209,9,0
pop_size,250,V1,1,24,20.94113,-8.51524,6.99498,9,0
