sweep_parameter,sweep_wert,variante,radius,zielrichtung,wiederholung,maze_seed,run_seed,wanddichte,kuerzester_weg,geloest,ziel_generation,schwelle_generation,generationen,beste_fitness,schritte_bester,netz_knoten,netz_verbindungen,pop_size,compatibility_threshold,conn_add_prob,node_add_prob,laufzeit_s
pop_size,250,V1,1,1,0,0,0,0.2432,50,0,,,100,17.14113,,13,14,250,2.8,0.5,0.3,24.9
pop_size,250,V1,1,1,1,1,1,0.2656,48,0,,,100,20.94113,,5,22,250,2.8,0.5,0.3,24.3
pop_size,250,V1,1,1,2,2,2,0.2528,48,1,44,44,45,43.94113,48,11,19,250,2.8,0.5,0.3,11.0
pop_size,250,V1,1,1,3,3,3,0.2336,48,1,9,9,10,43.94113,48,6,31,250,2.8,0.5,0.3,2.4
pop_size,250,V1,1,1,4,4,4,0.2256,48,1,58,58,59,43.94113,48,10,22,250,2.8,0.5,0.3,14.2
pop_size,250,V1,1,1,5,5,5,0.2624,48,1,14,14,15,43.94113,48,11,33,250,2.8,0.5,0.3,3.5
pop_size,250,V1,1,1,6,6,6,0.2464,48,1,19,19,20,43.94113,48,7,29,250,2.8,0.5,0.3,5.2
pop_size,250,V1,1,1,7,7,7,0.2896,50,0,,,100,19.84113,,9,16,250,2.8,0.5,0.3,23.3
pop_size,250,V1,1,1,8,8,8,0.24,48,0,,,100,19.57885,,6,23,250,2.8,0.5,0.3,22.9
pop_size,250,V1,1,1,9,9,9,0.2272,48,1,10,10,11,43.94113,48,9,28,250,2.8,0.5,0.3,2.8
pop_size,500,V1,1,1,0,0,0,0.2432,50,0,,,100,14.04113,,17,19,500,2.8,0.5,0.3,51.2
pop_size,500,V1,1,1,1,1,1,0.2656,48,1,4,4,5,43.94113,48,7,34,500,2.8,0.5,0.3,2.5
pop_size,500,V1,1,1,2,2,2,0.2528,48,1,23,23,24,43.94113,48,8,18,500,2.8,0.5,0.3,12.6
pop_size,500,V1,1,1,3,3,3,0.2336,48,1,8,8,9,43.94113,52,7,27,500,2.8,0.5,0.3,4.3
pop_size,500,V1,1,1,4,4,4,0.2256,48,0,,,100,10.46079,,7,13,500,2.8,0.5,0.3,44.4
pop_size,500,V1,1,1,5,5,5,0.2624,48,1,4,4,5,43.94113,48,7,35,500,2.8,0.5,0.3,2.5
pop_size,500,V1,1,1,6,6,6,0.2464,48,1,38,38,39,43.94113,48,6,11,500,2.8,0.5,0.3,19.5
pop_size,500,V1,1,1,7,7,7,0.2896,50,0,,,100,19.84113,,9,18,500,2.8,0.5,0.3,48.8
pop_size,500,V1,1,1,8,8,8,0.24,48,0,,,100,21.94113,,10,19,500,2.8,0.5,0.3,49.9
pop_size,500,V1,1,1,9,9,9,0.2272,48,1,2,2,3,43.94113,48,6,34,500,2.8,0.5,0.3,1.4
compatibility_threshold,3.2,V1,1,1,0,0,0,0.2432,50,0,,,100,14.28574,,11,17,1000,3.2,0.5,0.3,98.3
compatibility_threshold,2.6,V1,1,1,0,0,0,0.2432,50,1,94,94,95,43.94113,60,14,16,1000,2.6,0.5,0.3,118.5
compatibility_threshold,2.6,V1,1,1,1,1,1,0.2656,48,1,26,26,27,43.94113,48,7,13,1000,2.6,0.5,0.3,36.2
compatibility_threshold,2.6,V1,1,1,2,2,2,0.2528,48,1,28,28,29,43.94113,48,11,28,1000,2.6,0.5,0.3,39.5
compatibility_threshold,2.6,V1,1,1,3,3,3,0.2336,48,1,9,9,10,43.94113,48,9,31,1000,2.6,0.5,0.3,13.3
compatibility_threshold,2.6,V1,1,1,4,4,4,0.2256,48,0,,,100,20.94113,,6,18,1000,2.6,0.5,0.3,116.6
compatibility_threshold,2.6,V1,1,1,5,5,5,0.2624,48,1,21,21,22,43.94113,48,6,15,1000,2.6,0.5,0.3,29.5
