variante,radius,zielrichtung,wiederholung,maze_seed,run_seed,wanddichte,kuerzester_weg,geloest,ziel_generation,schwelle_generation,generationen,beste_fitness,schritte_bester,netz_knoten,netz_verbindungen,pop_size,compatibility_threshold,conn_add_prob,node_add_prob,laufzeit_s
V0,1,0,0,0,0,0.3248,48,0,,,45,19.24113,,13,18,1000,2.8,0.5,0.3,44.5
V1,1,1,0,0,0,0.3248,48,0,,,45,20.94113,,12,24,1000,2.8,0.5,0.3,47.8
V2,2,0,0,0,0,0.3248,48,0,,,45,22.04113,,10,38,1000,2.8,0.5,0.3,76.7
V3,2,1,0,0,0,0.3248,48,1,20,20,21,43.94113,48,10,55,1000,2.8,0.5,0.3,35.7
V4,3,1,0,0,0,0.3248,48,0,,,45,20.94113,,5,15,1000,2.8,0.5,0.3,132.6
V0,1,0,1,1,1,0.3264,50,0,,,45,-1.06238,,11,17,1000,2.8,0.5,0.3,43.8
V1,1,1,1,1,1,0.3264,50,0,,,45,-1.46238,,7,13,1000,2.8,0.5,0.3,44.1
V2,2,0,1,1,1,0.3264,50,0,,,45,-1.06238,,9,13,1000,2.8,0.5,0.3,77.1
V3,2,1,1,1,1,0.3264,50,0,,,45,-1.81955,,5,34,1000,2.8,0.5,0.3,77.8
V4,3,1,1,1,1,0.3264,50,0,,,45,8.73488,,9,116,1000,2.8,0.5,0.3,130.1
V0,1,0,2,2,2,0.3584,50,0,,,45,16.71017,,9,24,1000,2.8,0.5,0.3,42.3
V1,1,1,2,2,2,0.3584,50,0,,,45,16.71017,,7,9,1000,2.8,0.5,0.3,43.2
V2,2,0,2,2,2,0.3584,50,0,,,45,16.51017,,8,31,1000,2.8,0.5,0.3,70.1
V3,2,1,2,2,2,0.3584,50,0,,,45,16.91017,,7,23,1000,2.8,0.5,0.3,73.7
V4,3,1,2,2,2,0.3584,50,0,,,45,16.71017,,10,15,1000,2.8,0.5,0.3,127.8
V0,1,0,3,3,3,0.3328,48,0,,,45,5.28563,,5,12,1000,2.8,0.5,0.3,41.5
V1,1,1,3,3,3,0.3328,48,1,23,23,24,43.94113,48,5,16,1000,2.8,0.5,0.3,24.2
V2,2,0,3,3,3,0.3328,48,0,,,45,19.9127,,12,21,1000,2.8,0.5,0.3,72.9
V3,2,1,3,3,3,0.3328,48,1,33,33,34,43.94113,48,12,29,1000,2.8,0.5,0.3,61.0
V4,3,1,3,3,3,0.3328,48,0,,,45,19.9127,,13,26,1000,2.8,0.5,0.3,130.5
V0,1,0,4,4,4,0.3392,48,0,,,45,2.20204,,11,19,1000,2.8,0.5,0.3,40.2
V1,1,1,4,4,4,0.3392,48,0,,,45,8.44113,,5,16,1000,2.8,0.5,0.3,44.2
V2,2,0,4,4,4,0.3392,48,1,27,27,28,43.94113,48,9,25,1000,2.8,0.5,0.3,46.5
V3,2,1,4,4,4,0.3392,48,1,26,26,27,43.94113,48,10,29,1000,2.8,0.5,0.3,48.7
V4,3,1,4,4,4,0.3392,48,1,28,28,29,43.94113,50,6,38,1000,2.8,0.5,0.3,92.4
