generation,best,worst,average
1,3.257353982932421,21.19820697071785,14.821598262158146
2,3.257353982932421,20.821822105041395,12.337844357464546
3,3.257353982932421,20.186904498663832,10.76694071855001
4,1.4226437772200886,19.11152742489079,9.25845042678954
5,0.25727787134262536,19.11152742489079,8.226157881273545
6,0.25727787134262536,17.938130363537248,6.170518661480551
7,0.25727787134262536,15.980168092046284,5.38372541210714
8,0.25727787134262536,11.752960144564735,4.002966478697741
9,0.25727787134262536,11.752960144564735,3.386731489115791
10,0.25727787134262536,8.57369728520354,2.9442864858451556
11,0.019292314978074376,3.9339698610545297,2.468935954160692
12,0.019292314978074376,3.9339698610545297,2.326938070788421
13,0.019292314978074376,3.9339698610545297,2.130576263458156
14,0.019292314978074376,3.9339698610545297,2.018753701182715
15,0.019292314978074376,3.1173257882737744,1.875749118084022
16,0.019292314978074376,3.1173257882737744,1.7516500078246104
17,0.013358006819825352,2.9752205688586386,1.6684409334742878
18,0.005789284467704547,2.3948793398939356,1.4797573475795753
19,0.005789284467704547,2.3948793398939356,1.4004109941328378
20,0.005789284467704547,2.3506477386404967,1.2643020868723642
21,0.005789284467704547,2.164473212487401,1.1429284346161526
22,0.005789284467704547,2.164473212487401,0.9392445175025648
23,0.005789284467704547,1.8732935722277844,0.7785136309677957
24,0.005789284467704547,1.7965803684565542,0.6074894393300572
25,0.005789284467704547,1.6268307873690429,0.49661449954539416
26,0.005789284467704547,1.077146065484809,0.35138757482146027
27,0.005789284467704547,1.077146065484809,0.24968813209783505
28,0.005789284467704547,0.9447322030548968,0.19072399785157415
29,0.005789284467704547,0.43805631456349037,0.13676741622596117
30,0.005789284467704547,0.43805631456349037,0.10986772470579265
31,0.005789284467704547,0.43805631456349037,0.09358275028797966
32,6.987748273385996E-4,0.2172174015663062,0.06558466608611226
33,2.5591089747312168E-5,0.20238991932025963,0.04264564414467919
34,6.24302529983467E-6,0.13954915297320847,0.028539016722090402
35,6.24302529983467E-6,0.06727208567644682,0.0167130031890283
36,6.24302529983467E-6,0.04103356969603933,0.010498167710182109
37,6.24302529983467E-6,0.027872655476020913,0.00768690628133375
38,6.24302529983467E-6,0.024738530224441835,0.005657809385329537
39,6.24302529983467E-6,0.02020822605273187,0.0040869712629163675
40,6.24302529983467E-6,0.014954944989006513,0.002698529832041601
41,6.24302529983467E-6,0.008358778432878022,0.0019983515872616753
42,6.24302529983467E-6,0.004863703581440948,0.0013061917546167922
43,6.24302529983467E-6,0.004716569073736299,9.230119405886406E-4
44,6.24302529983467E-6,0.0026518411741900394,6.540038211115817E-4
45,6.24302529983467E-6,0.0014526089677806553,3.691326499421876E-4
46,2.0299990932670653E-7,0.0014526089677806553,2.383611309165179E-4
47,2.0299990932670653E-7,7.495099082031054E-4,1.4222143478078485E-4
48,2.0299990932670653E-7,4.4077702022793375E-4,9.601687941964698E-5
